engagement_id,customer_id,email_opens,email_clicks,website_visits,loyalty_points_earned,last_engagement_date
1,1097,6,2,5,3960,2024-05-10
2,146768,13,4,0,228,2024-06-30
3,155994,19,4,44,4615,2024-06-08
4,137275,8,6,18,672,2024-12-26
5,172673,5,9,14,3357,2024-01-08
6,111358,12,8,12,3466,2024-02-22
7,121710,15,8,5,3881,2024-06-20
8,108166,13,7,30,2594,2024-11-23
9,126550,9,2,0,3615,2024-02-24
10,140239,6,2,36,4171,2024-04-22
11,45905,17,5,21,2814,2024-08-12
12,160505,5,6,48,983,2024-11-06
13,197138,4,5,9,2380,2024-02-25
14,91983,18,2,10,2203,2024-11-03
15,76669,8,6,37,4084,2024-10-22
16,78263,3,0,45,1194,2024-03-17
17,19150,2,5,17,4497,2024-11-21
18,103338,12,6,26,2845,2024-10-05
19,63738,15,4,25,4672,2024-06-09
20,156311,5,5,49,1385,2024-03-16
21,97047,4,9,17,4637,2024-01-03
22,26232,13,3,20,3714,2024-04-01
23,164315,16,2,3,2388,2024-07-01
24,151114,5,1,40,4252,2024-08-14
25,84086,4,5,13,1463,2024-06-09
26,127320,15,6,29,3129,2024-03-25
27,42237,17,8,26,3183,2024-01-07
28,89243,17,2,45,1620,2024-07-24
29,54083,18,2,29,3525,2024-04-29
30,129998,16,5,0,1562,2024-04-11
31,47504,6,9,16,1383,2024-11-12
32,69577,8,9,13,453,2024-04-08
33,120176,4,9,13,1375,2024-06-24
34,99538,6,2,36,1445,2024-09-01
35,129364,12,0,41,4334,2024-12-30
36,111175,10,8,9,2703,2024-12-23
37,51210,8,5,40,3832,2024-06-04
38,20113,14,3,10,3822,2024-01-19
39,74806,9,8,47,62,2024-01-24
40,65131,0,8,41,50,2024-12-23
41,43461,3,2,19,3111,2024-09-10
42,183948,15,8,46,4867,2024-03-24
43,161890,16,5,2,1311,2024-04-21
44,113764,14,5,16,451,2024-02-16
45,143470,13,4,25,3411,2024-04-02
46,133253,18,9,11,597,2024-07-18
47,24549,12,0,9,588,2024-02-18
48,116798,4,1,5,4000,2024-03-04
49,157660,3,2,25,4693,2024-02-05
50,114419,18,9,44,777,2024-08-09
51,44487,1,4,10,3596,2024-09-02
52,57384,18,8,12,2791,2024-05-07
53,143557,17,4,20,482,2024-08-01
